hgncid,uniprot_id,protein_names,targetclass,go_function
SYT5,O00445,Synaptotagmin-5 (Synaptotagmin V) (SytV),Other,calcium ion binding; metal ion binding
TOMM20,Q15388,Mitochondrial import receptor subunit TOM20 homolog (Mitochondrial 20 kDa outer membrane protein) (Outer mitochondrial membrane receptor Tom20),Other,protein transmembrane transporter activity; protein transporter activity; primary active transmembrane transporter activity; P-P-bond-hydrolysis-driven transmembrane transporter activity; P-P-bond-hydrolysis-driven protein transmembrane transporter activity; active transmembrane transporter activity; macromolecule transmembrane transporter activity; amide transmembrane transporter activity; unfolded protein binding; peptide transmembrane transporter activity
MYBPHL,A2RUH7,Myosin-binding protein H-like,Other,NA
ADGRA2,Q96PE1,Adhesion G protein-coupled receptor A2 (G-protein coupled receptor 124) (Tumor endothelial marker 5),7TM_all_others,"""NA"""
EXOC3L2,Q2M3D2,Exocyst complex component 3-like protein 2 (HBV X-transactivated gene 7 protein) (HBV XAg-transactivated protein 7),Other,NA
PKNOX2,Q96KN3,Homeobox protein PKNOX2 (Homeobox protein PREP-2) (PBX/knotted homeobox 2),Transcriptional_Factor_all_others,NA
GPM6A,P51674,Neuronal membrane glycoprotein M6-a (M6a),Other,"""NA"""
HIST1H2BD,A0A024QZZ7,"""NA""",Transcriptional_Factor_all_others,"""NA"""
ASPN,Q9BXN1,Asporin (Periodontal ligament-associated protein 1) (PLAP-1),Extracellular_all_others,calcium ion binding; metal ion binding
CDSN,Q15517,Corneodesmosin (S protein),Extracellular_all_others,"""NA"""
RAB15,P59190,Ras-related protein Rab-15,Other,"""NA"""
PLD4,Q96BZ4,Phospholipase D4 (PLD 4) (EC 3.1.4.4) (Choline phosphatase 4) (Phosphatidylcholine-hydrolyzing phospholipase D4),Enzyme_all_others,"phosphatidylinositol phospholipase C activity; phospholipase activity; phospholipase C activity; phosphoric diester hydrolase activity; lipase activity; hydrolase activity, acting on ester bonds; phosphoric ester hydrolase activity"
EEF1AKMT3,Q96AZ1,EEF1A lysine methyltransferase 3 (EC 2.1.1.-) (Hepatocellular carcinoma-associated antigen 557a) (Methyltransferase-like protein 21B) (Protein-lysine methyltransferase METTL21B),Enzyme_Transferase,"methyltransferase activity; N-methyltransferase activity; protein methyltransferase activity; S-adenosylmethionine-dependent methyltransferase activity; lysine N-methyltransferase activity; protein-lysine N-methyltransferase activity; transferase activity, transferring one-carbon groups; heat shock protein binding"
ZNF592,Q92610,Zinc finger protein 592,Transcriptional_Factor_all_others,NA
ANKK1,Q8NFD2,Ankyrin repeat and protein kinase domain-containing protein 1 (EC 2.7.11.1) (Protein kinase PKK2) (Sugen kinase 288) (SgK288) (X-kinase),Kinase_Protein,NA
NSMCE4A,Q9NXX6,Non-structural maintenance of chromosomes element 4 homolog A (NS4EA) (Non-SMC element 4 homolog A),Other,NA
ATXN10,Q9UBB4,Ataxin-10 (Brain protein E46 homolog) (Spinocerebellar ataxia type 10 protein),Other,NA
VBP1,P61758,Prefoldin subunit 3 (HIBBJ46) (von Hippel-Lindau-binding protein 1) (VBP-1) (VHL-binding protein 1),Other,NA
NUMA1,Q14980,Nuclear mitotic apparatus protein 1 (Nuclear matrix protein-22) (NMP-22) (Nuclear mitotic apparatus protein) (NuMA protein) (SP-H antigen),Other,structural molecule activity; phospholipid binding; microtubule binding; cytoskeletal protein binding; lipid binding; tubulin binding; protein domain specific binding; phosphatidylinositol binding; microtubule plus-end binding; microtubule minus-end binding; dynein complex binding
RBBP8NL,Q8NC74,RBBP8 N-terminal-like protein,Other,"""NA"""
ARID1A,O14497,"AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (B120) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD)",Transcriptional_Factor_all_others,transcription factor binding; nuclear receptor binding; nuclear hormone receptor binding; hormone receptor binding
TBL1XR1,Q9BZK7,F-box-like/WD repeat-containing protein TBL1XR1 (Nuclear receptor corepressor/HDAC3 complex subunit TBLR1) (TBL1-related protein 1) (Transducin beta-like 1X-related protein 1),Transcriptional_Factor_all_others,regulatory region nucleic acid binding; transcription coregulator activity; transcription corepressor activity; beta-catenin binding; histone binding; transcription regulatory region DNA binding; protein N-terminus binding
BHLHE23,Q8NDY6,Class E basic helix-loop-helix protein 23 (bHLHe23) (Class B basic helix-loop-helix protein 4) (bHLHb4),Transcriptional_Factor_all_others,"""NA"""
CALCRL,Q16602,Calcitonin gene-related peptide type 1 receptor (CGRP type 1 receptor) (Calcitonin receptor-like receptor),7TM_all_others,adrenomedullin receptor activity; calcitonin gene-related peptide receptor activity; peptide receptor activity; transmembrane signaling receptor activity; G protein-coupled receptor activity; G protein-coupled peptide receptor activity; protein transporter activity; peptide hormone binding; amide binding; peptide binding; hormone binding; calcitonin family receptor activity; calcitonin family binding; adrenomedullin binding
ZNF10,P21506,Zinc finger protein 10 (Zinc finger protein KOX1),Transcriptional_Factor_all_others,NA
FSCN2,O14926,Fascin-2 (Retinal fascin),Other,"""NA"""
PLEKHH3,Q7Z736,Pleckstrin homology domain-containing family H member 3 (PH domain-containing family H member 3),Other,"""NA"""
FANCE,Q9HB96,Fanconi anemia group E protein (Protein FACE),Other,"""NA"""
CIDEC,Q96AQ7,Cell death activator CIDE-3 (Cell death-inducing DFFA-like effector protein C) (Fat-specific protein FSP27 homolog),Other,"""NA"""
MBL2,P11226,Mannose-binding protein C (MBP-C) (Collectin-1) (MBP1) (Mannan-binding protein) (Mannose-binding lectin),Extracellular Ligand,"endopeptidase activity; serine-type endopeptidase activity; mannose binding; peptidase activity; serine-type peptidase activity; serine hydrolase activity; carbohydrate binding; monosaccharide binding; calcium-dependent protein binding; peptidase activity, acting on L-amino acid peptides"
LRRC36,Q1X8D7,Leucine-rich repeat-containing protein 36 (ROR gamma-binding protein 70),Other,NA
NDUFAF3,Q9BU61,naDH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3,Other,NA
PSMG2,Q969U7,Proteasome assembly chaperone 2 (PAC-2) (Hepatocellular carcinoma-susceptibility protein 3) (Tumor necrosis factor superfamily member 5-induced protein 1),Other,NA
RPUSD4,Q96CM3,Mitochondrial Rna pseudouridine synthase RPUSD4 (EC 5.4.99.-) (Rna pseudouridylate synthase domain-containing protein 4),Enzyme_all_others,"""NA"""
LIF,P15018,Leukemia inhibitory factor (LIF) (Differentiation-stimulating factor) (D factor) (Melanoma-derived LPL inhibitor) (MLPLI) (Emfilermin),Extracellular Ligand,cytokine activity; cytokine receptor binding; leukemia inhibitory factor receptor binding; growth factor activity; receptor regulator activity; receptor ligand activity
MYH7B,A7E2Y1,"Myosin-7B (Antigen MLAA-21) (Myosin cardiac muscle beta chain) (Myosin heavy chain 7B, cardiac muscle beta isoform) (Slow A MYH14)",Other,"""NA"""
DPP4,P27487,Dipeptidyl peptidase 4 (EC 3.4.14.5) (ADABP) (Adenosine deaminase complexing protein 2) (ADCP-2) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (TP103) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)],Protease,"virus receptor activity; protease binding; endopeptidase activity; aminopeptidase activity; serine-type endopeptidase activity; peptidase activity; serine-type peptidase activity; exopeptidase activity; dipeptidyl-peptidase activity; serine hydrolase activity; peptidase activity, acting on L-amino acid peptides; hijacked molecular function"
PHETA2,Q6ICB4,Sesquipedalian-2 (Ses2) (27 kDa inositol polyphosphate phosphatase interacting protein B) (IPIP27B),Other,"""NA"""
TUBG1,P23258,Tubulin gamma-1 chain (Gamma-1-tubulin) (Gamma-tubulin complex component 1) (GCP-1),Other,"""NA"""
KIAA1755,Q5JYT7,Uncharacterized protein KIAA1755,Other,"""NA"""
DAPK3,O43293,Death-associated protein kinase 3 (DAP kinase 3) (EC 2.7.11.1) (DAP-like kinase) (Dlk) (MYPT1 kinase) (Zipper-interacting protein kinase) (ZIP-kinase),Kinase_Protein,nucleotide binding; protein kinase activity; protein serine/threonine kinase activity; ATP binding; transcription factor binding; cAMP response element binding protein binding; drug binding; Ras GTPase binding; Rho GTPase binding; purine nucleotide binding; protein domain specific binding; LRR domain binding; adenyl nucleotide binding; small GTPase binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; purine ribonucleoside triphosphate binding; leucine zipper domain binding; GTPase binding; carbohydrate derivative binding; nucleoside phosphate binding
HEATR4,Q86WZ0,HEAT repeat-containing protein 4,Other,NA
PADI2,Q9Y2J8,Protein-arginine deiminase type-2 (EC 3.5.3.15) (PAD-H19) (Peptidylarginine deiminase II) (Protein-arginine deiminase type II),Enzyme_all_others,"protein-arginine deiminase activity; calcium ion binding; transcription factor binding; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines; estrogen receptor binding; nuclear hormone receptor binding; steroid hormone receptor binding; metal ion binding; hormone receptor binding"
DENND2D,Q9H6A0,DENN domain-containing protein 2D,Other,guanyl-nucleotide exchange factor activity; Ras guanyl-nucleotide exchange factor activity; Ras GTPase binding; Rab guanyl-nucleotide exchange factor activity; Rab GTPase binding; small GTPase binding; GTPase binding
TSC22D4,Q9Y3Q8,TSC22 domain family protein 4 (TSC22-related-inducible leucine zipper protein 2) (Tsc-22-like protein THG-1),Transcriptional_Factor_all_others,"""NA"""
PRKRIP1,Q9H875,PRKR-interacting protein 1,Other,NA
GRAMD1A,Q96CP6,GRAM domain-containing protein 1A,Other,NA
PARPBP,Q9NWS1,PCna-interacting partner (PARI) (PARP-1 binding protein) (PARP1-binding protein) (PARPBP),Other,NA
FAM171A2,A8MVW0,Protein FAM171A2,Other,NA
BHLHA15,Q7RTS1,"Class A basic helix-loop-helix protein 15 (bHLHa15) (Class B basic helix-loop-helix protein 8) (bHLHb8) (Muscle, intestine and stomach expression 1) (MIST-1)",Transcriptional_Factor_all_others,NA
AMY2B,P19961,"Alpha-amylase 2B (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 2B) (Carcinoid alpha-amylase)",Enzyme_all_others,NA
AKR1B10,O60218,Aldo-keto reductase family 1 member B10 (EC 1.1.1.-) (ARL-1) (Aldose reductase-like) (Aldose reductase-related protein) (ARP) (hARP) (Small intestine reductase) (SI reductase),Enzyme_all_others,"retinal dehydrogenase activity; aldo-keto reductase (NADP) activity; oxidoreductase activity; oxidoreductase activity, acting on CH-OH group of donors; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; oxidoreductase activity, acting on the aldehyde or oxo group of donors; geranylgeranyl reductase activity; indanol dehydrogenase activity"
HSD17B7,P56937,3-keto-steroid reductase (EC 1.1.1.270) (17-beta-hydroxysteroid dehydrogenase 7) (17-beta-HSD 7) (Estradiol 17-beta-dehydrogenase 7) (EC 1.1.1.62) (Short chain dehydrogenase/reductase family 37C member 1),Enzyme_all_others,"3-keto sterol reductase activity; oxidoreductase activity; oxidoreductase activity, acting on CH-OH group of donors; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
STK11,Q15831,Serine/threonine-protein kinase STK11 (EC 2.7.11.1) (Liver kinase B1) (LKB1) (hLKB1) (Renal carcinoma antigen NY-REN-19),Kinase_Protein,nucleotide binding; magnesium ion binding; p53 binding; protein kinase activity; protein serine/threonine kinase activity; ATP binding; enzyme activator activity; drug binding; purine nucleotide binding; kinase regulator activity; kinase activator activity; protein kinase regulator activity; enzyme regulator activity; protein kinase activator activity; adenyl nucleotide binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; purine ribonucleoside triphosphate binding; metal ion binding; carbohydrate derivative binding; nucleoside phosphate binding
SNTB1,Q13884,Beta-1-syntrophin (59 kDa dystrophin-associated protein A1 basic component 1) (DAPA1B) (BSYN2) (Syntrophin-2) (Tax interaction protein 43) (TIP-43),Other,NA
C1GALT1C1,Q96EU7,"C1GALT1-specific chaperone 1 (C38H2-like protein 1) (C38H2-L1) (Core 1 beta1,3-galactosyltransferase 2) (C1Gal-T2) (C1GalT2) (Core 1 beta3-Gal-T2) (Core 1 beta3-galactosyltransferase-specific molecular chaperone)",Other,"""NA"""
POU5F1,Q01860,"POU domain, class 5, transcription factor 1 (Octamer-binding protein 3) (Oct-3) (Octamer-binding protein 4) (Oct-4) (Octamer-binding transcription factor 3) (OTF-3)",Transcriptional_Factor_all_others,"transcription regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; regulatory region nucleic acid binding; DNA-binding transcription repressor activity, RNA polymerase II-specific; double-stranded DNA binding; ubiquitin protein ligase binding; miRNA binding; transcription regulatory region DNA binding; ubiquitin-like protein ligase binding; regulatory RNA binding; sequence-specific double-stranded DNA binding"
DCUN1D5,Q9BTE7,DCN1-like protein 5 (DCUN1 domain-containing protein 5) (Defective in cullin neddylation protein 1-like protein 5),Other,NA
GALNT16,Q8N428,Polypeptide N-acetylgalactosaminyltransferase 16 (EC 2.4.1.41) (Polypeptide Galnac transferase 16) (Galnac-T16) (Polypeptide Galnac transferase-like protein 1) (Galnac-T-like protein 1) (pp-GaNTase-like protein 1) (Polypeptide N-acetylgalactosaminyltransferase-like protein 1) (Protein-UDP acetylgalactosaminyltransferase-like protein 1) (UDP-Galnac:polypeptide N-acetylgalactosaminyltransferase-like protein 1),Enzyme_Transferase,"polypeptide N-acetylgalactosaminyltransferase activity; UDP-glycosyltransferase activity; acetylgalactosaminyltransferase activity; transferase activity, transferring glycosyl groups; transferase activity, transferring hexosyl groups"
MYO19,Q96H55,Unconventional myosin-XIX (Myosin head domain-containing protein 1),Other,"actin binding; cytoskeletal protein binding; pyrophosphatase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; ATPase activity; nucleoside-triphosphatase activity"
AP1M2,Q9Y6Q5,AP-1 complex subunit mu-2 (AP-mu chain family member mu1B) (Adaptor protein complex AP-1 subunit mu-2) (Adaptor-related protein complex 1 subunit mu-2) (Clathrin assembly protein complex 1 mu-2 medium chain 2) (Golgi adaptor HA1/AP1 adaptin mu-2 subunit) (Mu-adaptin 2) (Mu1B-adaptin),Other,NA
PAPPA2,Q9BXP8,Pappalysin-2 (EC 3.4.24.-) (Pregnancy-associated plasma protein A2) (PAPP-A2) (Pregnancy-associated plasma protein E1) (PAPP-E),Protease,"endopeptidase activity; metalloendopeptidase activity; peptidase activity; metallopeptidase activity; peptidase activity, acting on L-amino acid peptides"
USF3,Q68DE3,Basic helix-loop-helix domain-containing protein USF3 (Upstream transcription factor 3),Transcriptional_Factor_all_others,NA
PRRC2A,P48634,Protein PRRC2A (HLA-B-associated transcript 2) (Large proline-rich protein BAT2) (Proline-rich and coiled-coil-containing protein 2A) (Protein G2),Other,NA
NFAT5,O94916,Nuclear factor of activated T-cells 5 (NF-AT5) (T-cell transcription factor NFAT5) (Tonicity-responsive enhancer-binding protein) (TonE-binding protein) (TonEBP),Transcriptional_Factor_all_others,"transcription regulatory region sequence-specific DNA binding; RNA polymerase II regulatory region sequence-specific DNA binding; RNA polymerase II proximal promoter sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding; proximal promoter sequence-specific DNA binding; RNA polymerase II regulatory region DNA binding; regulatory region nucleic acid binding; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific; DNA-binding transcription activator activity, RNA polymerase II-specific; double-stranded DNA binding; transcription regulatory region DNA binding; sequence-specific double-stranded DNA binding"
